Point,lat,lon,planeType,Common_ter,Dip,Dip_Azimuth
178,38.8769741,-110.2693657,AS,AccretionSurface,28.62,346.62
179,38.8768055,-110.2693845,AS,AccretionSurface,23.98,23.18
180,38.8766927,-110.2694928,AS,AccretionSurface,27.14,335.23
181,38.8766721,-110.2695283,AS,AccretionSurface,34.27,353.53
182,38.8767924,-110.269417,trough,Paleocurrent,20.12,21.73
183,38.8770555,-110.2688517,trough,Paleocurrent,14.77,64.37
184,38.8770083,-110.268849,trough,Paleocurrent,16.29,62.73
185,38.8770083,-110.268849,trough,Paleocurrent,25.85,80.49
186,38.8769785,-110.2688708,trough,Paleocurrent,22.12,68.37
187,38.8760115,-110.2668692,AS,AccretionSurface,5.47,67.27
188,38.8760804,-110.2669329,trough,Paleocurrent,15.69,141.69
189,38.8760877,-110.2669487,trough,Paleocurrent,25.47,140.62
190,38.8761245,-110.2670164,trough,Paleocurrent,14.81,134.35
191,38.8761245,-110.2670164,AS,AccretionSurface,11.64,56.62
192,38.8761349,-110.2670275,trough,Paleocurrent,24.88,139.8
193,38.8761561,-110.2670677,trough,Paleocurrent,31.59,104.14
194,38.8761736,-110.2671086,trough,Paleocurrent,25.13,116.57
195,38.8762231,-110.2672491,AS,AccretionSurface,19.5,20.61
196,38.8763518,-110.2674999,trough,Paleocurrent,16.43,100.44
197,38.8763834,-110.2675914,AS,AccretionSurface,10.33,14.11
198,38.876421,-110.267975,trough,Paleocurrent,15.1,90.75
199,38.876421,-110.267975,trough,Paleocurrent,24.9,98.43
200,38.876421,-110.267975,trough,Paleocurrent,29.95,101.96
201,38.876421,-110.268101,AS,AccretionSurface,13.04,10.44
202,38.876432,-110.2681828,AS,AccretionSurface,15.18,13.11
203,38.8764307,-110.2682811,AS,AccretionSurface,10.28,1.25
204,38.8769629,-110.2676856,AS,AccretionSurface,11.59,20.89
205,38.8768235,-110.2673855,trough,Paleocurrent,10.52,105.2
206,38.8767723,-110.2672431,trough,Paleocurrent,23.42,133.55
207,38.876957,-110.267128,AS,AccretionSurface,12.49,58.7
208,38.8769767,-110.2671673,AS,AccretionSurface,7.71,40.17
209,38.8770947,-110.2678841,AS,AccretionSurface,15.3,10.5
210,38.8771072,-110.2679223,AS,AccretionSurface,14.63,28.34
211,38.8770435,-110.2680373,AS,AccretionSurface,21.76,27.58
212,38.8767681,-110.2672665,trough,Paleocurrent,7,112.28
213,38.8767264,-110.2672263,trough,Paleocurrent,25.58,120.98
214,38.8767264,-110.2672263,trough,Paleocurrent,15.58,123.75
215,38.8766924,-110.2669195,trough,Paleocurrent,12.61,122.71
216,38.8766924,-110.2669195,trough,Paleocurrent,17.38,139.17
217,38.8767165,-110.2669618,AS,AccretionSurface,21.46,60.41
218,38.8767298,-110.2670094,trough,Paleocurrent,15.27,113.43
219,38.8767298,-110.2670094,trough,Paleocurrent,27.09,40.87
220,38.876759,-110.267011,AS,AccretionSurface,25.9,49.89
221,38.8767627,-110.267006,trough,Paleocurrent,17.86,113.06
222,38.876819,-110.266936,trough,Paleocurrent,13.5,149.11
223,38.8770994,-110.2674338,trough,Paleocurrent,16.9,121.95
224,38.8771132,-110.2674885,trough,Paleocurrent,28.52,136.73
225,38.8771179,-110.2674915,trough,Paleocurrent,32.5,108.1
226,38.877118,-110.267494,trough,Paleocurrent,28.79,111.51
227,38.877133,-110.2675046,trough,Paleocurrent,25.17,133.71
228,38.8771249,-110.267527,AS,AccretionSurface,24.23,21.77
229,38.877128,-110.267537,trough,Paleocurrent,19.43,80.25
230,38.8771132,-110.2675485,trough,Paleocurrent,13.45,116.59
231,38.8771187,-110.2675602,AS,AccretionSurface,27.35,44.72
232,38.87712,-110.2676055,AS,AccretionSurface,9.66,28.09
233,38.8771197,-110.2676176,AS,AccretionSurface,13.94,25.39
234,38.8770232,-110.2678023,trough,Paleocurrent,24.5,137.04
235,38.877041,-110.267854,trough,Paleocurrent,9.31,104.36
236,38.877038,-110.2678673,trough,Paleocurrent,13.13,101.35
237,38.8771041,-110.2679102,AS,AccretionSurface,19.15,21.73
238,38.8770592,-110.2679957,AS,AccretionSurface,20.39,16.43
239,38.8770511,-110.2679642,AS,AccretionSurface,25.17,18.5
240,38.8768156,-110.267867,trough,Paleocurrent,-,90
241,38.8768107,-110.2678204,trough,Paleocurrent,-,110
242,38.8768133,-110.2677272,trough,Paleocurrent,-,115
243,38.8768216,-110.2676719,trough,Paleocurrent,-,112
244,38.8768295,-110.2676316,trough,Paleocurrent,-,108
245,38.8763166,-110.2673983,trough,Paleocurrent,-,105
246,38.8760015,-110.266825,trough,Paleocurrent,-,147
247,38.875624,-110.266518,trough,Paleocurrent,-,145
248,38.8756194,-110.2664961,trough,Paleocurrent,-,148
249,38.8755894,-110.2664773,trough,Paleocurrent,-,150
250,38.8755978,-110.2660803,trough,Paleocurrent,-,149
